// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020104	
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020105	
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020106	
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020107	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020108	
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020109	
LangTagMsgChangePasswordRepetitionError	dan	Forkert adgangskode	date20050116	
LangTagMsgChangePasswordSuccess	dan	Adgangskoden er ændret	date20050116	
LangTagMsgChangePasswordUpdateError	dan	Der opstod en fejl ved ændringen.	date20050116	
LangTagMsgChangePasswordEmptyPasswordError	dan	Adgangskoden skal indeholde mindst 6 tegn.	Date20050117	
				
				
LangTagSearchProductGroups	deu	Warengruppe(n)	date20050126	
LangTagSearchProductGroups	eng	product group(s)	date20050126	
LangTagSearchProductGroups	dan	product groups(s)	date20050126	
LangTagOpenAll	deu	alle öffnen	date20050126	
LangTagOpenAll	eng	open all	date20050126	
LangTagOpenAll	dan	open all	date20050126	
LangTagCloseAll	deu	alle schließen	date20050126	
LangTagCloseAll	eng	close all	date20050126	
LangTagCloseAll	dan	close all	date20050126	
				
LangTagLastViewedItem	deu	Angesehene Artikel	date20050310	
LangTagLastViewedItem	eng	Last viewed items	date20050310	
LangTagLastViewedItem	dan	Last viewed items	date20050310	
LangTagLastItem	deu	Artikel	date20050310	
LangTagLastItem	eng	Item	date20050310	
LangTagLastItem	dan	Article	date20050310	
LangTagLastItemPrice	deu	Preis	date20050310	
LangTagLastItemPrice	eng	Price	date20050310	
LangTagLastItemPrice	dan	Price	date20050310	
LangTagLastItem1	deu	Artikel	date20050310	
LangTagLastItem1	eng	Item	date20050310	
LangTagLastItem1	dan	Article	date20050310	
				
LangTagLogout	deu	Logout	date20050412	
LangTagLogout	eng	Logout	date20050412	
LangTagLogout	dan	Logout	date20050412	
LangTagB2BLogout	deu	Logout	date20050412	
LangTagB2BLogout	eng	Logout	date20050412	
LangTagB2BLogout	dan	Logout	date20050412	
LangTagStart	deu	Start	date20050414	
LangTagStart	eng	Start	date20050414	
LangTagStart	dan	Start	date20050414	
				
LangTagRequestGSShopBuilder	deu	Anfrage GS ShopBuilder	date20050414	
LangTagRequestGSShopBuilder	eng	Request GS ShopBuilder	date20050414	
				
LangTagRequestGSShopBuilder	dan	Request GS ShopBuilder	date20050414	
				
LangTagFAQ	deu	Fragen	date20050601	
LangTagFAQ	eng	FAQ	date20050601	
LangTagFAQ	dan	FAQ	date20050601	
LangTagFromNew	deu	ab	date20050601	
LangTagFromNew	eng	from 	date20050601	
LangTagFromNew	dan	from 	date20050601	
LangTagGallery	deu	Galerie 	date20050601	
LangTagGallery	eng	Gallery	date20050601	
LangTagGallery	dan	Gallery	date20050601	
LangTagItemUnit	deu	Einh. 	date20050601	
LangTagItemUnit	eng	Pck.	date20050601	
LangTagItemUnit	dan	Pck.	date20050601	
LangTagLinks	deu	Links 	date20050601	
LangTagLinks	eng	Links 	date20050601	
LangTagLinks	dan	Links 	date20050601	
LangTagSpecials	deu	Sonderaktionen 	date20050601	
LangTagSpecials	eng	Specials	date20050601	
LangTagSpecials	dan	Specials	date20050601	
LangTagVacations	deu	Urlaubszeiten 	date20050601	
LangTagVacations	eng	Vacations 	date20050601	
LangTagVacations	dan	Vacations 	date20050601	
LangTagWeightTotal	deu	Warengewicht 	date20050601	
LangTagWeightTotal	eng	Net weight 	date20050601	
LangTagWeightTotal	dan	Net weight 	date20050601	
LangTagCookie	deu	Für unser Login sind Cookies erforderlich. Bitte aktivieren Sie Cookies in Ihren Browserseinstellungen	date20051003	
LangTagCookie	eng	Please activate Cookies in your browser settings.	date20051003	
LangTagCookie	dan	Please activate Cookies in your browser settings.	date20051003	
LangTagInclusiveVatAndExcludingDelivery	deu	inkl. MwSt. zzgl. Versandkosten	date20051003	
LangTagInclusiveVatAndExcludingDelivery	eng	inc. VAT and excluding delivery	date20051003	
LangTagInclusiveVatAndExcludingDelivery	dan	inc. VAT and excluding delivery	date20051003	
LangTagAccountData	deu	Kontodaten	date20051012	
LangTagAccountData	eng	Account data	date20051012	
